title,objectid,parentid,description,creator,recipient,date,date-is-approximate,latitude,longitude,location,latitude-received,longitude-received,location-received,subject,digital collection,contributing institution,source,rights,format-original,type,format,language,identifier,filename,rightsstatement,display_template,object_location,image_small,image_thumb
Verna Smith letter to Richard Richard Dodson undated [02],dodson0050,,Handwritten letter from Verna Smith to Richard Dodson. Smith talks about her progress towards getting her drivers license.,"Smith, Verna","Dodson, Richard W.",,,41.921672,-84.638791,"Hillsdale, Michigan",,,,algebra; driver's license,The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",correspondence; handwritten letter,Text,application/pdf,eng,dodson-05-vernasmith-undated2,dodson-05-vernasmith-undated2.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-05-vernasmith-undated2.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-05-vernasmith-undated2_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-05-vernasmith-undated2_th.jpg
Julius Schwartz letter to Richard Dodson 1931-08-16,dodson0051,,"Handwritten letter from Julius Schwartz to Richard Dodson. Schwartz talks about the book that he sent Dodson, then talks about some other publications and gives Dodson information on another author.","Schwarz, Julius","Dodson, Richard W.",1931-08-16,,,,,,,,science fiction; authors; magazines (periodicals),The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",correspondence; handwritten letter,Text,application/pdf,eng,dodson-09-1931-08-16,dodson-09-1931-08-16.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-09-1931-08-16.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-09-1931-08-16_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-09-1931-08-16_th.jpg
Julius Schwartz letter to Richard Dodson 1931-09-10,dodson0052,,"Typewritten letter from Julius Schwartz to Richard Dodson. Schwartsz talks about school beginning later than usual due to an epidemic then he talks about what classes he's going to take. Schwartz then tells him about the authors Hall and Flint, talks about SF news, and tells Dodson about the author Edmond Hamilton.","Schwarz, Julius","Dodson, Richard W.",1931-09-10,,40.856426,-73.894919,"New York, New York",,,,science fiction; authors; magazines (periodicals),The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",correspondence; typewritten letter,Text,application/pdf,eng,dodson-09-1931-09-10,dodson-09-1931-09-10.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-09-1931-09-10.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-09-1931-09-10_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-09-1931-09-10_th.jpg
Julius Schwartz letter to Richard Dodson 1931-05-24,dodson0053,,"Typewritten letter from Julius Schwartz to Richard Dodson. Schwartz talks about different authors and the gossip around them. He also provides Dodson with an address where he can purchase magazines for lower prices, then tells him about another author.","Schwarz, Julius","Dodson, Richard W.",1931-05-24,,40.856426,-73.894919,"New York, New York",,,,science fiction; studying; autograph; books; authors,The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",correspondence; typewritten letter,Text,application/pdf,eng,dodson-09-1931-05-24,dodson-09-1931-05-24.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-09-1931-05-24.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-09-1931-05-24_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-09-1931-05-24_th.jpg
Abraham Merritt letter to Richard Dodson 1933-01-31,dodson0054,,"Typewritten letter from Abraham Merritt (1884-1943) to Richard Dodson, about two of Merritt's publications, writing, and a missing letter","Merritt, Abraham","Dodson, Richard W.",1933-01-31,,40.75241,-73.971224,"New York, New York",40.1948,-92.5832,"Kirksville, Missouri",science fiction; writing; books,The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",correspondence; typewritten letter,Text,application/pdf,eng,dodson-11-1933-01-31,dodson-11-1933-01-31.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-11-1933-01-31.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-11-1933-01-31_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-11-1933-01-31_th.jpg
Photo of Abraham Merritt,dodson0055,,Sepia colored photo of Abraham Merritt sitting on rocks next to a river with an inscription from Merrit to Dodson.,"Merritt, Abraham","Dodson, Richard W.",,,,,,,,,science fiction; books; writing; autographs,The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",correspondence,Image;StillImage,image/jpeg,eng,dodson-11-photograph01,dodson-11-photograph01.jpg,http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/dodson/dodson-11-photograph01.jpg,https://objects.lib.uidaho.edu/dodson/small/dodson-11-photograph01_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-11-photograph01_th.jpg
Edward Elmer Smith letter to Richard Dodson 1932-10-05,dodson0056,,"Typewritten letter from E. E. ""Doc"" Smith to Richard Dodson. Smith answers questions about his progress on ""Skylark"" and explains some reasoning behind his choices in the story. Smith then answers some chemistry questions Dodson had sent him.","Smith, Edward Elmer","Dodson, Richard W.",1932-10-05,,41.921672,-84.638791,"Hillsdale, Michigan",,,,science fiction; chemistry,The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",correspondence; typewritten letter,Text,application/pdf,eng,dodson-04-1932-10-05,dodson-04-1932-10-05.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-04-1932-10-05.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-04-1932-10-05_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-04-1932-10-05_th.jpg
Edward Elmer Smith letter to Richard Dodson 1935-01-08,dodson0057,,"Typewritten letter from E. E. ""Doc"" Smith to Richard Dodson. Smith discusses different sci-fi publications that he likes and dislikes. Smith then talks about writing plans that he is considering.","Smith, Edward Elmer","Dodson, Richard W.",1935-01-08,,41.921672,-84.638791,"Hillsdale, Michigan",,,,science fiction; authors,The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",correspondence; typewritten letter,Text,application/pdf,eng,dodson-04-1935-01-08,dodson-04-1935-01-08.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-04-1935-01-08.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-04-1935-01-08_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-04-1935-01-08_th.jpg
Review of author J. W. Campbell Jr.,dodson0058,,"A review of ""The Mightiest Machine,"" written by J. W. Campbell Jr.",unknown,,,,,,,,,,authors; writing; reviews (documents); science fiction,The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",magazine,Text,application/pdf,eng,dodson-13-undated02,dodson-13-undated02.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-13-undated02.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-13-undated02_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-13-undated02_th.jpg
"1935 Newspaper Article on E. E. ""Doc"" Edward Elmer Smith",dodson0059,,"1935 Newspaper Article on E. E. ""Doc"" Smith. The article talks about his career in chemistry and his career of writing science fiction, giving short summaries of his stories.",unknown,,1935-01-14,,,,,,,,authors; science fiction,The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",newspaper,Text,application/pdf,eng,dodson-08-1935-01-14,dodson-08-1935-01-14.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-08-1935-01-14.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-08-1935-01-14_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-08-1935-01-14_th.jpg
Clark Ashton Smith letter to Richard Dodson 1933-10-04,dodson0060,,"Typewritten letter from Clark Ashton Smith to Richard Dodson. Smith talks about some of his suggested books and stories, telling Dodson where he may find some. He then talks about progress in publishing a few of his stories in some magazines.","Smith, Clark Ashton","Dodson, Richard W.",1933-10-04,,38.895272,-121.075958,"Auburn, California",,,,science fiction; writing; publishing; magazines (periodicals),The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",correspondence; typewritten letter,Text,application/pdf,eng,dodson-10-1933-10-04,dodson-10-1933-10-04.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-10-1933-10-04.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-10-1933-10-04_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-10-1933-10-04_th.jpg
Abraham Merritt letter to Richard Dodson 1932-09-30,dodson0061,,"Typewritten letter from Abraham Merritt (1884-1943) to Richard Dodson, about Merritt's work and signing a book.","Merritt, Abraham","Dodson, Richard W.",1932-09-30,,40.75241,-73.971224,"New York, New York",40.1948,-92.5832,"Kirksville, Missouri",science fiction; magazines (periodicals); publishing; authors; books; autographs,The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",correspondence; typewritten letter,Text,application/pdf,eng,dodson-11-1932-09-30,dodson-11-1932-09-30.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-11-1932-09-30.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-11-1932-09-30_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-11-1932-09-30_th.jpg
Richard Dodson letter to Eric Rocker Eddison 1933-12-26,dodson0062,,"Handwritten letter from Richard Dodson to Eric Rocker Eddison. Dodson compliments Eddison on his writing and asks for his opinions on the future of SF, he then requests an autograph.","Dodson, Richard W.","Eddison, Eric Rocker",1933-12-26,,,,,,,,science fiction; magazines (periodicals); publishing; authors; books,The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",correspondence; handwritten letter,Text,application/pdf,eng,dodson-09-1933-12-26,dodson-09-1933-12-26.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-09-1933-12-26.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-09-1933-12-26_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-09-1933-12-26_th.jpg
Edward Elmer Smith letter to Richard Dodson 1932-12-25,dodson0063,,"Typewritten letter from E. E. ""Doc"" Smith to Richard Dodson. Smith thanks Dodson for the present that he sent him for christmas.","Smith, Edward Elmer","Dodson, Richard W.",1932-12-25,,41.921672,-84.638791,"Hillsdale, Michigan",,,,books; autographs,The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",correspondence; typewritten letter,Text,application/pdf,eng,dodson-04-1932-12-25,dodson-04-1932-12-25.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-04-1932-12-25.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-04-1932-12-25_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-04-1932-12-25_th.jpg
Julius Schwartz letter to Richard Dodson 1931-05-14,dodson0064,,Typewritten letter from Julius Schwartz to Richard Dodson. Schwartz talks about a few authors and asks Dodson about his thoughts on a new magazine. He then talks about a few stories that he's recently read.,"Schwarz, Julius","Dodson, Richard W.",1931-05-14,,40.856426,-73.894919,"New York, New York",,,,science fiction; writing,The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",correspondence; typewritten letter,Text,application/pdf,eng,dodson-09-1931-05-14,dodson-09-1931-05-14.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-09-1931-05-14.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-09-1931-05-14_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-09-1931-05-14_th.jpg
Clark Ashton Smith letter to Richard Dodson 1932-11-10,dodson0065,,Typewritten letter from Clark Ashton Smith to Richard Dodson. Smith thanks Dodson for his letter and for being interested in his work. He talks about which of his stories he is proud of and which he does not like. He then answers a few of Dodson's questions.,"Smith, Clark Ashton","Dodson, Richard W.",1932-11-10,,38.895272,-121.075958,"Auburn, California",,,,science fiction; religions; writing; drawing (visual works); magazines (periodicals); publishing,The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",correspondence; typewritten letter,Text,application/pdf,eng,dodson-10-1932-11-10,dodson-10-1932-11-10.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-10-1932-11-10.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-10-1932-11-10_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-10-1932-11-10_th.jpg
Henry Clark letter to Richard Dodson 1933-16-26,dodson0066,,"Typewritten letter with handwritten notes from Henry Clark to Richard Dodson. Clark explains that this letter is to be paired with the outline he is sending, he asks Dodson to send copies of documents on to other members. He asks for a reply so that he knows Dodson received the package he sent.","Clark, Henry","Dodson, Richard W.",1933-06-26,,39.759911,-104.9657,"Denver, Colorado",,,,letters (correspondence); colleges (institutions),The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",correspondence,Text,application/pdf,eng,dodson-12-1933-06-26,dodson-12-1933-06-26.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-12-1933-06-26.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-12-1933-06-26_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-12-1933-06-26_th.jpg
Abraham Merritt telegram to Richard Dodson 1933-12-23,dodson0067,,"Telegram from Abraham Merritt (1884-1943) to Richard Dodson, inquiring if Dodson received Merritt's autographed book for Edward Elmer Smith","Merritt, Abraham","Dodson, Richard W.",1933-12-23,yes,40.73061,-73.935242,"New York, New York",40.19112,-92.576347,"Kirksville, Missouri",books; writing; publishing,The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",correspondence; telegram,Text,application/pdf,eng,dodson-11-1933-12-23,dodson-11-1933-12-23.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-11-1933-12-23.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-11-1933-12-23_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-11-1933-12-23_th.jpg
Clark Ashton Smith letter to Richard Dodson 1933-05-25,dodson0068,,Typewritten letter from Clark Ashton Smith to Richard Dodson. Smith talks about the publication process for a few of his stories then answers another question about his thoughts on religion. He discusses a few opinions of SF and some stories of his own. He also recommends some stories to Dodson.,"Smith, Clark Ashton","Dodson, Richard W.",1933-05-25,,38.895272,-121.075958,"Auburn, California",,,,science fiction; publishing; religions; drawing (visual works),The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",correspondence; typewritten letter,Text,application/pdf,eng,dodson-10-1933-05-25,dodson-10-1933-05-25.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-10-1933-05-25.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-10-1933-05-25_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-10-1933-05-25_th.jpg
Abraham Merritt letter to Richard Dodson 1933,dodson0069,,"Handwritten postcard from Abraham Merritt (1884-1943) to Richard Dodson, agreeing to autograph one of Merritt's books as a Christmas gift for Edward Elmer Smith.","Merritt, Abraham","Dodson, Richard W.",1905-04-16,,,,,,,,portraits; authors,The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",photograph,Text,application/pdf,eng,dodson-11-undated02,dodson-11-undated02.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-11-undated02.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-11-undated02_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-11-undated02_th.jpg
Edward Elmer Smith letter to Richard Dodson 1934-05-12,dodson0070,,"Typewritten letter from E. E. ""Doc"" Smith to Richard Dodson. Smith congratulates Dodson for getting accepted to higher education. Smith sends some notes he'd received from an editor so Dodson can see how professional critique works.","Smith, Edward Elmer","Dodson, Richard W.",1934-05-12,,41.921672,-84.638791,"Hillsdale, Michigan",,,,education; authors,The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",correspondence; typewritten letter,Text,application/pdf,eng,dodson-04-1934-05-12,dodson-04-1934-05-12.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-04-1934-05-12.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-04-1934-05-12_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-04-1934-05-12_th.jpg
Review of author E. R. Eddison,dodson0071,,"Multiple reviews of E. R. Eddison's work, including ""Mistress of Mistresses"" among others",unknown,,,,,,,,,,authors; writing; reviews (documents); science fiction,The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",magazine,Text,application/pdf,eng,dodson-13-undated03,dodson-13-undated03.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-13-undated03.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-13-undated03_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-13-undated03_th.jpg
Richard Dodson letter to Eric Rocker Eddison 1934-03-03,dodson0072,,"Handwritten letter from Richard Dodson to Eric Rocker Eddison. Dodson apologizes for his late reply, saying he had been busy with his classes. He then thanks Eddison for answering his questions. Dodson then talks about what he is currently reading.","Dodson, Richard W.","Eddison, Eric Rocker",1934-03-03,,40.19112,-92.576347,"Kirksville, Missouri",,,,science fiction; magazines (periodicals); fanzines; publishing; authors; books,The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",correspondence; handwritten letter,Text,application/pdf,eng,dodson-09-1934-03-03,dodson-09-1934-03-03.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-09-1934-03-03.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-09-1934-03-03_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-09-1934-03-03_th.jpg
Julius Schwartz letter to Richard Dodson 1931-10-21,dodson0073,,"Typewritten letter from Julius Schwartz to Richard Dodson. Schwartz discusses the hoax of ""wonder"" magazine closing down along with a suspect whom recently pulled a meteor prank. He then talks about SF news including; ""The Invisible Man"" being produced by Universal Pictures, new SF publications, and other SF news. He then asks Dodson for help with jokes since he had been chosen as humor editor for his high school paper.","Schwarz, Julius","Dodson, Richard W.",1931-10-21,,40.856426,-73.894919,"New York, New York",,,,science fiction; authors; clubs (associations); magazines (periodicals),The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",correspondence; typewritten letter,Text,application/pdf,eng,dodson-09-1931-10-21,dodson-09-1931-10-21.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-09-1931-10-21.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-09-1931-10-21_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-09-1931-10-21_th.jpg
John W. Campbell Jr. letter to Richard Dodson 1940-04-11,dodson0074,,"Typewritten letter from John W. Campbell to Richard Dodson. Campbell invites Dodson to contribute to the scientific technology sections of Astounding, saying that he needs better articles for that section.","Campbell, John W. Jr.","Dodson, Richard W.",1940-04-11,,40.739601,-73.998147,"New York, New York",35.602821,-77.417229,"Baltimore, Maryland",science fiction; magazines (periodicals); fanzines; publishing; authors; books,The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",correspondence; typewritten letter,Text,application/pdf,eng,dodson-09-1940-04-11,dodson-09-1940-04-11.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-09-1940-04-11.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-09-1940-04-11_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-09-1940-04-11_th.jpg
