title,creator,date,description,aes_subjects,subject,publisher,contributing_departments,series,full_series_and_number,extent,identifier,format_original,type,format,rights,rightsstatement,language,oclc_number,cdm_url,cdmid,objectid,display_template,filename,object_location,image_small,image_thumb,errors
The Economic Feasibility Of Expanding Swine Operations In The Panhandle Region Of Northern Idaho,"Prigge, G. Ray",1976,The purpose of this meeting is to explore the economic feasibility of expanding swine production in Northern Idaho.,Livestock Production/Industries; International Development; Demand and Price Analysis; Labor and Human Capital,Include individual industries including milk; developing economies; price theory; industrial relations,,,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 311,21,aees311,document,Text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/196,196,aers197,pdf,aers197.pdf,https://objects.lib.uidaho.edu/aers/aers197.pdf,https://objects.lib.uidaho.edu/aers/small/aers197_sm.jpg,https://objects.lib.uidaho.edu/aers/thumbs/aers197_th.jpg,
An Econometric Approach To Evaluating Development Pressure On Cropland In South-Central Idaho,"Vasquez, Orestes; Nelson, James R.; Hamilton, Joel R.",2002,The objective of this paper is to quantify the effect of development pressure on farmland values in a South-central Idaho study area.,Crop Production/Industries; Demand and Price Analysis; Land Economics/Use,Demand and Price Analysis; Includes individual crops/industries; land valuation,"University of Idaho, College of Agricultural and Life Sciences, Department of Agricultural Economics and Rural Sociology",Department of Agricultural Economics and Rural Sociology,Agricultural Economic Research Series,Agricultural Economic Research Series no. 02-01,18,aers02-01,document,Text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/197,197,aers198,pdf,aers198.pdf,https://objects.lib.uidaho.edu/aers/aers198.pdf,https://objects.lib.uidaho.edu/aers/small/aers198_sm.jpg,https://objects.lib.uidaho.edu/aers/thumbs/aers198_th.jpg,
1993 Crop Inputs Cost Summary For Southern Idaho,"Patterson, Paul E.; Gray, C. Wilson; Rimbey, Neil R.",1993-09,"The objective of this publication is to provide producers, lenders and agribusinesses with information needed to develop or modify cost of production estimates.",Agribusiness ; Agricultural Finance; Demand and Price Analysis,Agribusiness ; farm finance; cost benefit,,,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 93-09,17,aees93-09,document,Text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/198,198,aers199,pdf,aers199.pdf,https://objects.lib.uidaho.edu/aers/aers199.pdf,https://objects.lib.uidaho.edu/aers/small/aers199_sm.jpg,https://objects.lib.uidaho.edu/aers/thumbs/aers199_th.jpg,
Painting A Picture Of The Public Purse: Taxing Property To Support Local Services In Extension District II Of Idaho,"Cooke, Stephen C.; Meyer, Neil; Engel, Paula",1992-05,Tax Revenues For Public Services,Research Methods/ Statistical Methods; Public Economics,panel data; statistical methods; tax; public finance,,Department of Agricultural Economics and Rural Sociology,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 92-09,42,aees92-09,document,Text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/199,199,aers200,pdf,aers200.pdf,https://objects.lib.uidaho.edu/aers/aers200.pdf,https://objects.lib.uidaho.edu/aers/small/aers200_sm.jpg,https://objects.lib.uidaho.edu/aers/thumbs/aers200_th.jpg,
"Expanding Beef Exports To Japan Background, Opportunities, And Strategies","Lin, Biing-Hwan; Mori, Hiroshi",1990-04-27,The main purposes of this paper are to improve our understanding of the Japanese beef market and to study the profitability of a proposed production/marketing strategy for expanding beef exports to Japan.,International Relations/Trade; Livestock Production/Industries; Food Consumption/Nutrition/Food Safety; Research Methods/ Statistical Methods,Impact analysis; international trade; Include individual industries including milk; Diet,,Department of Agricultural Economics and Rural Sociology,Agricultural Economic Research Series,Agricultural Economic Research Series no. 90-03,25,aers90-03,document,Text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/200,200,aers201,pdf,aers201.pdf,https://objects.lib.uidaho.edu/aers/aers201.pdf,https://objects.lib.uidaho.edu/aers/small/aers201_sm.jpg,https://objects.lib.uidaho.edu/aers/thumbs/aers201_th.jpg,
P4 __ Painting A Picture Of The Public Purse Introduction To Taxation In Idaho: A Guide To Commonly Used State And Local Taxes,"Meyer, Neil; Cooke, Steve; Harp, Aaron",1992-05,The p4 is . .. series of publications was written to help citizens gain a basic understanding of taxation so they can evaluate various tax alternatives.,Public Economics; Research Methods/ Statistical Methods; Teaching/Communication/Extension/Profession,tax; Impact analysis; panel data; teaching; public finance,"Department of Agricultural Economics and Rural Sociology, Cooperative Extension System, College of Agriculture, University of Idaho",,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 92-05,19,aees92-05,document,Text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/201,201,aers202,pdf,aers202.pdf,https://objects.lib.uidaho.edu/aers/aers202.pdf,https://objects.lib.uidaho.edu/aers/small/aers202_sm.jpg,https://objects.lib.uidaho.edu/aers/thumbs/aers202_th.jpg,
Percentage Of Idaho Population 55 And Older: Data For Extension District 3 .,"Harp, Aaron J. Harp; Pauley, Teresa",1992-07-01,Idaho's population percentages for District 3.,Research Methods/ Statistical Methods; Labor and Human Capital; Community/Rural/Urban Development,statistical methods; models; huma capital; community development,"Department of Agricultural Economics & Rural Sociology, Cooperative Extension System, College of Agriculture, University of Idaho",,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 92-16,28,aees92-16,document,Text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/202,202,aers203,pdf,aers203.pdf,https://objects.lib.uidaho.edu/aers/aers203.pdf,https://objects.lib.uidaho.edu/aers/small/aers203_sm.jpg,https://objects.lib.uidaho.edu/aers/thumbs/aers203_th.jpg,
Styles Of Leadership Influence Committee Effectiveness,"Prigge, G. Ray",1978,Today we want to examine several styles or types of leadership and discuss the impact that each may have upon the effective functioning of our advisory committees and our relationships with other client groups and extension education colleagues.,Institutional and Behavioral Economics; Teaching/Communication/Extension/Profession,leadership; psychology; teaching; extension; social capital,,,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 353,6,aees353,document,Text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/203,203,aers204,pdf,aers204.pdf,https://objects.lib.uidaho.edu/aers/aers204.pdf,https://objects.lib.uidaho.edu/aers/small/aers204_sm.jpg,https://objects.lib.uidaho.edu/aers/thumbs/aers204_th.jpg,
A Nonparametric Procedure For Estimating Agricultural Cost Functions,"Cooke, Stephen C.",1991-04,Diewert's quadratic approximation lemma is shown mathematically and graphically to be equivalent to a second order Taylor's series expansion of a quadratic unit cost function.,Demand and Price Analysis; Farm Management; Research and Development/Tech Change/Emerging Technologies,cost benefit; decision-making; technological change,,Department of Agricultural Economics and Rural Sociology,Agricultural Economic Research Series,Agricultural Economic Research Series no. 91-04,21,aers91-04,document,Text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/204,204,aers205,pdf,aers205.pdf,https://objects.lib.uidaho.edu/aers/aers205.pdf,https://objects.lib.uidaho.edu/aers/small/aers205_sm.jpg,https://objects.lib.uidaho.edu/aers/thumbs/aers205_th.jpg,
Continuing The Public Dialogue On Idaho'S Tax Policy: Can County Governments In Idaho 'Grow Out' Of Property Tax Reductions Resulting From The 1994 One-Percent Initiative?,"Patton, David; Weatherby, James; Zelus, Paul; Cooke, Stephen; Meyer, Neil",1994-01-11,"If the Idaho One-percent Initiative (1994 version) had been in effect in 1993, county, school, city, highway, and other tax districts would have lost $204 million in property tax revenue according to the Idaho State Tax Commission. County government alone would have lost $68 million in property tax revenue, a third of the $204 million reduction. In 1992, supporters of the One-percent Initiative maintained that the Tax Commission estimates over-states the property tax reduction because proponents believed the tax base would grow faster than the local government expenditures. As a result, property tax rates would be lower, so the One-percent restrictions would be less revenue reducing in two years time, the earliest the initiative could take effect. Beyond this, the proponents of the One-percent Initiative argued, as long as the growth in the tax base is greater than the growth in expenditures, then local government would .. grow out .. of any reduction in property tax revenues given enough time. By opponents of the One-percent Initiative, the reverse argument was made.",Public Economics; Land Economics/Use; Agricultural and Food Policy,tax; fiscal; land management; Agricultural policy,University of Idaho College of Agriculture,The Idaho Universities Policy Research Group,Agricultural Economic Research Series,Agricultural Economic Research Series no. 94-01,26,aers94-01,document,Text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/205,205,aers206,pdf,aers206.pdf,https://objects.lib.uidaho.edu/aers/aers206.pdf,https://objects.lib.uidaho.edu/aers/small/aers206_sm.jpg,https://objects.lib.uidaho.edu/aers/thumbs/aers206_th.jpg,
The Lbudget User Guide A Livestock Budget Generator,"Stodick, Leroy D.; Smathers, Robert L.; Rimbey, Neil R.; Gray, C. Wilson; Patterson, Paul E.",1997,Cost and return estimates (enterprise budgets) have been commonly done to calculate per acre or per head costs of producing various commodities. Computer programs have assisted greatly in this process.,Farm Management; Research Methods/ Statistical Methods,farm planning; simulation,"Agricultural Economics and Rural Sociology, University of Idaho",,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 97-05,48,aees97-05,document,Text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/206,206,aers207,pdf,aers207.pdf,https://objects.lib.uidaho.edu/aers/aers207.pdf,https://objects.lib.uidaho.edu/aers/small/aers207_sm.jpg,https://objects.lib.uidaho.edu/aers/thumbs/aers207_th.jpg,
1997 Crop Inputs Cost Summary For Idaho,"Patterson, Paul E.; Smathers, Robert L.",1997-12,"The objective of this publication is to provide producers, lenders, agribusinesses and University of Idaho researchers and Extension personnel with information needed to develop or modify traditional or alternative cost of production estimates. This publication contains operating input costs used in the production of crops in Idaho.",Demand and Price Analysis; Risk and Uncertainty; Teaching/Communication/Extension/Profession,cost benefit; agricultural economics; supply and demand; Probability,,,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 97-08,17,aees97-08,document,Text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/207,207,aers208,pdf,aers208.pdf,https://objects.lib.uidaho.edu/aers/aers208.pdf,https://objects.lib.uidaho.edu/aers/small/aers208_sm.jpg,https://objects.lib.uidaho.edu/aers/thumbs/aers208_th.jpg,
"A To Z Retained Ownership, Inc. 2004 Year-End Summary","Jenson, Scott; Wilhelm, Bobbi; Rimbey, Neil; Keetch, Gordon; Cook, Will; Glaze, Benton; Gray, C. Wilson; Hawkins, Jim; Morrison, Eric; Williams, Shannon; Momont, Pat",2004-09,The primary goal of this educational program is to provide information to cow calf producers on how their cattle perform through the feeding and carcass grading phases. This report presents the results of the twelfth year of the retained ownership program.,Land Economics/Use; Livestock Production/Industries; Farm Management; Agribusiness,land ownership; Include individual industries including milk; decision-making; food industries,"Department of Agricultural Economics and Rural Sociology, College of Agricultural and Life Sciences, University of Idaho",,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 04-07,24,aees04-07,document,Text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/208,208,aers209,pdf,aers209.pdf,https://objects.lib.uidaho.edu/aers/aers209.pdf,https://objects.lib.uidaho.edu/aers/small/aers209_sm.jpg,https://objects.lib.uidaho.edu/aers/thumbs/aers209_th.jpg,
Impact Of An Extension Educational Program In Home Based Business Development,"Meyer, Neil; Lyle, Corinne; Lawroski, Mary Ann",1992-07-26,Creating opportunities which provide jobs and income is a very difficult process. It is even less systematic and predictable in rural areas.,Teaching/Communication/Extension/Profession; Research Methods/ Statistical Methods,Outreach; teaching; extension; universities and colleges; methodology,"Cooperative Extension System, University of Idaho",,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 92-18,22,aees92-18,document,Text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/209,209,aers210,pdf,aers210.pdf,https://objects.lib.uidaho.edu/aers/aers210.pdf,https://objects.lib.uidaho.edu/aers/small/aers210_sm.jpg,https://objects.lib.uidaho.edu/aers/thumbs/aers210_th.jpg,
Teaching Entrepreneurship To An Extension Audience What To Teach And How To Teach It,"Nelson, James R.; Howe, Sarah",2003-07,University of Idaho Cooperative Extension personnel (including the authors of this paper) offer an extension course called Agricultural Entrepreneurship. The text for the course is 'Tilling the Soil of Opportunity - NXLEVEL TM Guide for Agricultural Entrepreneurs 1.' The course is coordinated through the Small Business Development Centers (SBDCs) in Idaho.,Teaching/Communication/Extension/Profession,teaching; extension,"College of Agricultural and Life Sciences, University of Idaho",Department of Agricultural Economics and Rural Sociology,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 03-04,6,aees03-04,document,Text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/210,210,aers211,pdf,aers211.pdf,https://objects.lib.uidaho.edu/aers/aers211.pdf,https://objects.lib.uidaho.edu/aers/small/aers211_sm.jpg,https://objects.lib.uidaho.edu/aers/thumbs/aers211_th.jpg,
Steep A Model For Conservation And Environmental Research,"Michalson, E. L.; Papendick, R. I.",1990-12,Soil erosion continues to be a major problem in the Pacific Northwest wheat region. Each year erosion losses amount to millions of tons of topsoil eroded from its croplands. In some cases where farmers use conventional farming practices as much as 12 bushels of top soil are eroded annually for each bushel of wheat produced.,Land Economics/Use; Agricultural and Food Policy; Farm Management; Research Methods/ Statistical Methods,soil conservation; Agricultural policy; farm land management; land management; Impact analysis,,Department of Agricultural Economics,Agricultural Economic Research Series,Agricultural Economic Research Series no. 90-13,23,aers90-13,document,Text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/211,211,aers212,pdf,aers212.pdf,https://objects.lib.uidaho.edu/aers/aers212.pdf,https://objects.lib.uidaho.edu/aers/small/aers212_sm.jpg,https://objects.lib.uidaho.edu/aers/thumbs/aers212_th.jpg,
"Volunteer Services In A Gateway County: An Example In Valley County, Idaho","Meyer, Neil; Hines, Steve",2002-09,"Gateway community counties are those places that front on major expanses of public land, which is predominantly used by recreators.",Community/Rural/Urban Development; Land Economics/Use; Public Economics,regional development; land management; land valuation; tax,"Department of Agricultural Economics and Rural Sociology, College of Agricultural and Life Sciences, University of Idaho",Department of Agricultural Economics and Rural Sociology,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 02-10,15,aees02-10,document,Text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/212,212,aers213,pdf,aers213.pdf,https://objects.lib.uidaho.edu/aers/aers213.pdf,https://objects.lib.uidaho.edu/aers/small/aers213_sm.jpg,https://objects.lib.uidaho.edu/aers/thumbs/aers213_th.jpg,
"Functions, Resource Allocation, And The Productivity Of The State Agricultural Experiment Station","Araji, A. A.",2001-03,"The objectives of this study were to ascertain the functions of the SAES, determine the proportion of resources allocated to each function by geographic location and political districts, and evaluate the impacts of investment in each function by location and by districts.",Research Methods/ Statistical Methods; Agricultural and Food Policy,Impact analysis; Agricultural policy,University of Idaho,Department of Agricultural Economics and Rural Sociology,Agricultural Economic Research Series,Agricultural Economic Research Series no. 01-03,30,aers01-03,document,Text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/213,213,aers214,pdf,aers214.pdf,https://objects.lib.uidaho.edu/aers/aers214.pdf,https://objects.lib.uidaho.edu/aers/small/aers214_sm.jpg,https://objects.lib.uidaho.edu/aers/thumbs/aers214_th.jpg,
"Farm Estate Taxes; Philosophy, Current Policy And Economic And Social Impact Of Proposed Changes","Prigge, G. Ray",1976,"Estate taxes,which became a permanent part of the federal revenue system in 1916, were introduced by Congress to generate and regulate the direction of society.",Public Economics; Research and Development/Tech Change/Emerging Technologies; Institutional and Behavioral Economics; Risk and Uncertainty,tax; technical change; social change; expectations,,,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 316,18,aees316,document,Text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/214,214,aers215,pdf,aers215.pdf,https://objects.lib.uidaho.edu/aers/aers215.pdf,https://objects.lib.uidaho.edu/aers/small/aers215_sm.jpg,https://objects.lib.uidaho.edu/aers/thumbs/aers215_th.jpg,
"The Economic Structure Of Boundary County, Idaho","Coupal, Roger; Fox, Linette; Meyer, Neil; Harp, Aaron",1996-02,The following report summarizes the result of a study of the economic structure of Boundary County.,Resource /Energy Economics and Policy; Research Methods/ Statistical Methods; Community/Rural/Urban Development,forests; natural resources; Impact analysis; statistical methods; regional economics,,Department of Agricultural Economics and Rural Sociology,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 96-03,28,aees96-03,document,Text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/215,215,aers216,pdf,aers216.pdf,https://objects.lib.uidaho.edu/aers/aers216.pdf,https://objects.lib.uidaho.edu/aers/small/aers216_sm.jpg,https://objects.lib.uidaho.edu/aers/thumbs/aers216_th.jpg,
"A To Z Retained Ownership, Inc. 1998 Year-End Summary","University of Idaho Cooperative Extension System, College of Agriculture",1998,The primary goal of this educational program is to give cow calf producers information on how their cattle perform through the feeding and carcass phases. This report presents the results of the sixth year of the retained ownership program.,Agribusiness ; Crop Production/Industries; Farm Management; Productivity Analysis,agricultural productivity; farm planning; Includes individual crops/industries; agribusiness,"University of Idaho Cooperative Extension System, College of Agriculture",,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 98-10,20,aees98-10,document,Text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/216,216,aers217,pdf,aers217.pdf,https://objects.lib.uidaho.edu/aers/aers217.pdf,https://objects.lib.uidaho.edu/aers/small/aers217_sm.jpg,https://objects.lib.uidaho.edu/aers/thumbs/aers217_th.jpg,
Secondary Data For A Fiscal Impact Model Of Idaho Counties,"Engel, Paula M.; Cooke, Stephen C.",1992-05-19,"The public expects increased services provided by counties along with the lowest possible tax burden. County governments need accurate and complete information to improve local public finance decision making. To improve local fiscal policy talking Tom Johnson and his graduate students at Virginia Polytechnic Institute developed a micro computer based fiscal impact model. The model provides decision makers a method to simulate the impacts of various demographic, fiscal, and economic changes in the community. Researchers at the University of Idaho's Agricultural Economics and Rural Sociology are adapting the Virginia model for Idaho counties.",Research Methods/ Statistical Methods; Community/Rural/Urban Development; Public Economics,statistical methods; panel data; regional economics; public finance; models,University of Idaho College of Agriculture,Department of Agricultural Economics and Rural Sociology,Agricultural Economic Research Series,Agricultural Economic Research Series no. 92-05,32,aers92-05,document,Text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/217,217,aers218,pdf,aers218.pdf,https://objects.lib.uidaho.edu/aers/aers218.pdf,https://objects.lib.uidaho.edu/aers/small/aers218_sm.jpg,https://objects.lib.uidaho.edu/aers/thumbs/aers218_th.jpg,
A Critical Review Of The Social And Economic Analyses In The 'Upper Columbia Basin Ecosystem Management Project Draft Environmental Impact Statement' Reported Presented To Governor Philip E. Batt,"Harp, Aaron J.; Rimbey, Neil R.",1997-11-03,The social and economic information and analysis contained in the Upper Columbia River Basin Draft Environmental Impact Statement (DEIS) released in May 1997 contains two major conclusions.,Research Methods/ Statistical Methods; Land Economics/Use; Community/Rural/Urban Development; Agricultural and Food Policy,Impact analysis; land management; regional economics; Agricultural policy,,Department of Agricultural Economics and Rural Sociology,Agricultural Economic Research Series,Agricultural Economic Research Series no. 97-08,24,aers97-08,document,Text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/218,218,aers219,pdf,aers219.pdf,https://objects.lib.uidaho.edu/aers/aers219.pdf,https://objects.lib.uidaho.edu/aers/small/aers219_sm.jpg,https://objects.lib.uidaho.edu/aers/thumbs/aers219_th.jpg,
"A Social Profile Of Seven Communities In Custer And Lemhi Counties, Idaho","Harp, Aaron J.; Pauley, Teresa",1993,"This study was conducted under Cooperative Agreement ID-040-A-2-0006 with the Commissioners of Custer and Lemhi Counties, the Department of the Interior, Bureau of Land Management-Salmon District, and the U.S. Department of Agriculture-Salmon National Forest",Community/Rural/Urban Development; Research Methods/ Statistical Methods; Consumer/Household Economics,regional economics; methodology; regional development; income,University of Idaho College of Agriculture,Department of Agricultural Economics and Rural Sociology,Agricultural Economic Research Series,Agricultural Economic Research Series no. 93-13,149,aers93-13,document,Text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/219,219,aers220,pdf,aers220.pdf,https://objects.lib.uidaho.edu/aers/aers220.pdf,https://objects.lib.uidaho.edu/aers/small/aers220_sm.jpg,https://objects.lib.uidaho.edu/aers/thumbs/aers220_th.jpg,
Marketing Problems,"Early, John O.",1980,"The problem of the level of price and income in agriculture is deep rooted. It is in part a result of excess production capacity, variability in weather conditions, and the fact that resources do not move out of agricultural production rapidly in response to price changes.",Marketing; Demand and Price Analysis,marketing; cost benefit; supply and demand; forward marketing,,Department of Agricultural Economics,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 372,5,aees372,document,Text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/220,220,aers221,pdf,aers221.pdf,https://objects.lib.uidaho.edu/aers/aers221.pdf,https://objects.lib.uidaho.edu/aers/small/aers221_sm.jpg,https://objects.lib.uidaho.edu/aers/thumbs/aers221_th.jpg,
